intenzita;BR [umol/l];LR [umol/l];;;
0;352,42759;0,187824003;;;
1;293,27467;0,762715153;;;
40;162,1574;8,084640152;;;
80;105,39474;9,671287717;;;
128;71,010207;228,0680781;;;
